c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
a 248 186 0 30889 63
a 248 261 0 28 23
a 248 258 0 76 37
a 248 128 0 49 46
a 248 228 0 100 40
a 248 124 0 71 130
a 249 79 0 30889 196
a 249 33 0 88 171
a 249 32 0 63 98
a 250 293 0 30889 92
a 250 248 0 30889 200
a 250 43 0 42 83
a 250 234 0 37 90
a 250 22 0 72 10
a 250 170 0 37 151
a 250 68 0 75 44
a 250 136 0 80 84
a 251 75 0 30889 89
a 251 145 0 10 16
a 251 176 0 24 181
a 251 58 0 49 137
a 257 299 0 30889 64
a 257 252 0 20 184
a 257 15 0 96 171
a 257 48 0 14 143
a 257 182 0 73 22
a 257 279 0 39 175
a 257 296 0 31 105
a 257 43 0 36 14
a 270 213 0 30889 200
a 270 154 0 53 92
a 270 258 0 67 77
a 270 212 0 51 85
a 270 96 0 41 33
a 270 42 0 46 89
a 270 129 0 19 154
a 270 122 0 82 40
a 270 164 0 20 38
a 270 253 0 73 177
a 270 226 0 99 170
a 287 257 0 30889 196
a 287 116 0 43 13
a 287 27 0 70 130
a 287 56 0 61 111
a 287 104 0 43 88
a 287 203 0 10 81
a 287 149 0 26 179
a 287 250 0 86 172
a 287 19 0 86 183
a 287 272 0 81 91
a 288 218 0 30889 200
a 288 136 0 16 33
a 288 165 0 86 180
a 288 40 0 53 129
a 2 92 0 12031 200
a 2 74 0 94 41
a 2 233 0 82 21
a 2 109 0 50 42
a 2 162 0 62 25
a 17 225 0 12031 200
a 17 80 0 56 97
a 17 279 0 87 127
a 17 39 0 14 16
a 17 267 0 43 143
a 17 299 0 49 90
a 17 274 0 14 112
a 17 137 0 59 188
a 17 42 0 94 73
a 17 62 0 62 48
a 17 266 0 38 116
a 17 111 0 21 96
a 26 274 0 12031 200
a 26 214 0 25 76
a 26 250 0 16 199
a 26 215 0 20 71
a 46 66 0 12031 200
a 46 149 0 33 76
a 57 193 0 12031 152
a 57 12 0 96 76
a 57 241 0 92 134
a 57 29 0 16 116
a 57 149 0 85 193
a 57 132 0 33 79
a 57 156 0 38 168
a 57 77 0 91 35
a 57 120 0 94 59
a 57 189 0 24 97
a 57 40 0 31 154
a 63 114 0 12031 200
a 63 28 0 32 113
a 63 258 0 78 132
a 63 55 0 55 177
a 63 294 0 68 174
a 63 262 0 14 119
a 63 281 0 41 112
a 63 253 0 47 18
a 63 235 0 50 88
a 63 104 0 99 110
a 63 9 0 80 101
a 66 212 0 12031 149
a 66 128 0 12 172
a 66 216 0 20 49
a 66 283 0 33 28
a 66 52 0 84 45
a 68 262 0 12031 184
a 68 127 0 79 103
a 68 124 0 43 155
a 68 273 0 42 60
a 68 217 0 64 163
a 68 191 0 54 124
a 68 201 0 19 144
a 68 72 0 39 127
a 85 147 0 12031 87
a 85 263 0 86 141
a 85 219 0 79 168
a 85 108 0 93 122
a 85 199 0 25 57
a 85 22 0 77 24
a 85 218 0 13 140
a 85 210 0 48 17
a 90 269 0 12031 116
a 90 82 0 21 170
a 90 113 0 51 5
a 90 178 0 14 26
a 90 264 0 93 145
a 90 249 0 98 42
a 90 143 0 40 187
a 90 122 0 23 75
a 90 276 0 18 130
a 90 194 0 61 149
a 92 227 0 12031 76
a 92 113 0 17 179
a 92 242 0 35 61
a 92 221 0 37 140
a 92 88 0 23 151
a 92 181 0 75 24
a 92 105 0 25 183
a 92 45 0 60 98
a 92 27 0 57 196
a 92 145 0 56 58
a 92 67 0 68 126
a 96 152 0 12031 200
a 96 90 0 97 97
a 96 66 0 63 93
a 96 68 0 43 2
a 96 226 0 19 194
a 96 262 0 49 192
a 96 178 0 89 200
a 96 126 0 30 75
a 96 145 0 55 66
a 114 277 0 12031 117
a 114 117 0 38 197
a 114 293 0 45 168
a 114 165 0 80 18
a 114 142 0 65 5
a 114 19 0 85 104
a 114 252 0 13 117
a 114 273 0 49 15
a 114 106 0 86 53
a 116 143 0 12031 111
a 116 176 0 57 164
a 116 253 0 51 188
a 116 224 0 49 128
a 116 44 0 33 94
a 116 53 0 50 41
a 116 73 0 42 89
a 116 254 0 63 98
a 116 70 0 91 145
a 116 292 0 32 65
a 116 69 0 55 74
a 125 63 0 12031 87
a 125 127 0 50 49
a 125 248 0 20 188
a 125 92 0 55 99
a 132 261 0 12031 43
a 132 136 0 48 4
a 132 36 0 94 78
a 132 248 0 75 106
a 139 214 0 12031 158
a 139 173 0 26 135
a 139 106 0 48 84
a 139 153 0 75 28
a 139 210 0 60 87
a 139 260 0 42 192
a 139 10 0 29 47
a 139 77 0 85 41
a 143 242 0 12031 200
a 143 55 0 78 137
a 143 149 0 84 8
a 143 148 0 72 178
a 145 132 0 12031 168
a 145 61 0 59 43
a 145 186 0 59 38
a 145 95 0 32 196
a 147 116 0 12031 110
a 147 141 0 19 7
a 147 85 0 26 141
a 147 208 0 62 154
a 147 93 0 60 124
a 147 244 0 40 130
a 147 80 0 76 199
a 152 275 0 12031 166
a 152 208 0 45 145
a 152 204 0 85 2
a 152 88 0 65 78
a 152 221 0 54 117
a 152 66 0 12 169
a 152 265 0 31 84
a 152 130 0 87 92
a 152 33 0 51 100
a 152 223 0 70 40
a 162 26 0 12031 200
a 162 240 0 67 142
a 162 248 0 63 187
a 162 39 0 47 69
a 162 281 0 61 158
a 162 91 0 27 61
a 162 87 0 41 40
a 181 267 0 12031 200
a 181 232 0 95 107
a 181 15 0 60 195
a 193 280 0 12031 200
a 193 71 0 61 172
a 193 33 0 53 22
a 193 72 0 99 74
a 193 182 0 100 32
a 193 141 0 11 190
a 193 48 0 75 20
a 193 219 0 94 59
a 193 192 0 70 126
a 193 46 0 46 15
a 193 201 0 87 140
a 195 46 0 12031 187
a 195 260 0 48 146
a 195 299 0 45 158
a 195 123 0 56 143
a 195 143 0 82 175
a 195 192 0 34 115
a 195 67 0 22 114
a 195 239 0 30 6
a 195 41 0 21 180
a 195 242 0 31 196
a 211 294 0 12031 96
a 211 57 0 12031 73
a 211 38 0 96 97
a 212 85 0 12031 200
a 212 170 0 84 39
a 212 88 0 18 60
a 212 177 0 52 132
a 212 226 0 47 47
a 212 227 0 88 92
a 212 108 0 12 118
a 214 145 0 12031 12
a 214 233 0 75 189
a 214 241 0 96 97
a 214 106 0 66 95
a 214 76 0 28 7
a 214 83 0 59 146
a 214 78 0 48 162
a 214 130 0 44 29
a 214 237 0 32 169
a 214 27 0 57 109
a 214 12 0 60 111
a 225 234 0 12031 56
a 225 48 0 84 116
a 225 43 0 95 56
a 225 229 0 36 73
a 225 203 0 71 9
a 225 272 0 95 15
a 225 195 0 31 37
a 225 16 0 15 164
a 227 96 0 12031 200
a 227 122 0 92 34
a 234 246 0 12031 200
a 234 188 0 21 90
a 242 162 0 12031 200
a 242 123 0 22 2
a 242 100 0 97 195
a 242 111 0 23 68
a 244 139 0 12031 200
a 244 17 0 10 122
a 244 276 0 49 126
a 246 195 0 12031 184
a 246 22 0 50 143
a 246 153 0 83 52
a 261 90 0 12031 59
a 261 164 0 54 87
a 261 299 0 24 183
a 261 211 0 30 15
a 261 125 0 93 46
a 261 95 0 59 85
a 261 190 0 46 12
a 262 181 0 12031 2
a 262 270 0 51 63
a 262 103 0 72 200
a 262 287 0 39 192
a 262 257 0 53 51
a 262 183 0 10 145
a 267 297 0 12031 194
a 267 55 0 44 191
a 269 17 0 12031 165
a 269 183 0 39 135
a 269 57 0 50 175
a 274 68 0 12031 26
a 274 149 0 44 12
a 274 57 0 22 29
a 274 38 0 23 180
a 274 282 0 49 18
a 274 265 0 16 58
a 274 190 0 15 89
a 274 291 0 87 152
a 274 88 0 64 152
a 274 92 0 83 175
a 275 125 0 12031 79
a 275 107 0 47 145
a 275 91 0 13 200
a 275 74 0 78 193
a 275 133 0 38 9
a 275 113 0 80 122
a 277 211 0 12031 200
a 277 244 0 45 161
a 280 244 0 12031 78
a 280 118 0 91 137
a 280 103 0 85 156
a 280 130 0 94 10
a 280 176 0 94 183
a 280 145 0 36 24
a 3 112 0 14326 99
a 3 226 0 71 11
a 3 37 0 18 93
a 3 128 0 69 20
a 3 31 0 24 22
a 11 100 0 14326 200
a 11 120 0 30 47
a 11 136 0 40 194
a 11 220 0 25 181
a 11 298 0 24 141
a 14 271 0 14326 91
a 14 141 0 77 78
a 14 229 0 28 33
a 14 106 0 63 126
a 14 218 0 87 45
a 14 10 0 88 24
a 14 9 0 87 107
a 14 167 0 46 60
a 14 272 0 77 166
a 14 88 0 94 90
a 15 43 0 14326 200
a 15 297 0 94 100
a 15 170 0 42 57
a 15 296 0 85 65
a 15 32 0 27 111
a 15 114 0 59 139
a 15 152 0 57 70
a 15 125 0 35 190
a 15 37 0 83 157
a 15 126 0 50 54
a 15 280 0 66 145
a 19 117 0 14326 114
a 19 218 0 12 195
a 19 156 0 86 151
a 19 285 0 81 156
a 22 292 0 14326 115
a 22 19 0 47 21
a 22 163 0 40 74
a 22 207 0 10 34
a 22 200 0 87 70
a 22 226 0 52 5
a 22 17 0 80 78
a 22 223 0 61 14
a 22 42 0 77 63
a 30 15 0 14326 161
a 30 163 0 74 141
a 30 233 0 58 46
a 30 191 0 77 23
a 30 208 0 95 130
a 30 85 0 16 3
a 30 112 0 56 99
a 30 180 0 52 134
a 30 105 0 16 156
a 30 148 0 93 165
a 37 11 0 14326 25
a 37 211 0 100 118
a 37 216 0 64 59
a 37 182 0 95 118
a 37 132 0 18 58
a 37 212 0 80 11
a 37 284 0 63 149
a 37 53 0 23 14
a 38 273 0 14326 4
a 38 34 0 56 57
a 38 202 0 90 89
a 38 236 0 84 35
a 38 245 0 86 152
a 38 17 0 74 70
a 38 104 0 73 167
a 38 103 0 37 28
a 38 131 0 70 6
a 38 145 0 55 189
a 38 120 0 19 175
a 38 134 0 81 78
a 43 221 0 14326 200
a 43 116 0 99 186
a 49 67 0 14326 11
a 49 154 0 12 104
a 49 300 0 18 175
a 49 189 0 52 155
a 49 112 0 38 150
a 49 31 0 100 72
a 49 287 0 16 69
a 49 286 0 10 95
a 49 209 0 41 126
a 49 281 0 84 77
a 49 214 0 21 113
a 49 230 0 81 147
a 60 110 0 14326 107
a 60 151 0 70 141
a 60 256 0 29 49
a 60 238 0 36 36
a 60 195 0 25 134
a 60 249 0 13 95
a 67 170 0 14326 200
a 67 220 0 73 178
a 67 246 0 64 147
a 67 128 0 36 124
a 67 20 0 55 23
a 67 172 0 24 182
a 67 222 0 20 192
a 70 233 0 14326 200
a 70 124 0 80 138
a 70 257 0 41 48
a 70 159 0 86 200
a 70 104 0 84 56
a 70 99 0 35 179
a 70 81 0 94 130
a 70 298 0 49 48
a 70 183 0 83 141
a 70 172 0 51 104
a 70 147 0 61 23
a 80 49 0 14326 200
a 80 32 0 70 163
a 82 19 0 14326 113
a 82 128 0 60 37
a 82 273 0 67 19
a 82 155 0 30 168
a 82 237 0 71 61
a 82 200 0 78 129
a 82 156 0 45 15
a 82 73 0 37 131
a 82 219 0 97 47
a 83 142 0 14326 16
a 83 234 0 100 141
a 83 217 0 49 74
a 83 82 0 17 112
a 83 300 0 96 6
a 86 254 0 14326 64
a 86 20 0 84 159
a 88 86 0 14326 200
a 88 34 0 47 43
a 88 168 0 100 117
a 88 125 0 51 140
a 88 179 0 14 34
a 88 188 0 49 135
a 88 11 0 61 183
a 88 167 0 16 95
a 88 53 0 31 15
a 88 92 0 87 24
a 98 60 0 14326 14
a 98 144 0 10 83
a 98 71 0 61 49
a 98 141 0 44 143
a 98 185 0 77 9
a 98 129 0 63 126
a 100 157 0 14326 99
a 100 300 0 14326 200
a 100 110 0 71 63
a 108 14 0 14326 200
a 108 128 0 28 26
a 110 108 0 14326 20
a 110 241 0 37 89
a 110 72 0 40 48
a 110 13 0 57 113
a 110 187 0 41 45
a 110 188 0 71 16
a 110 287 0 97 79
a 110 226 0 93 160
a 110 143 0 21 167
a 112 146 0 14326 200
a 112 214 0 92 114
a 112 180 0 29 83
a 112 282 0 57 38
a 112 127 0 29 134
a 112 14 0 29 111
a 112 204 0 34 75
a 112 32 0 17 18
a 112 267 0 11 101
a 112 226 0 32 112
a 112 283 0 27 21
a 112 273 0 17 23
a 115 98 0 14326 14
a 115 217 0 59 142
a 115 120 0 15 131
a 115 296 0 17 143
a 115 178 0 41 178
a 115 188 0 65 128
a 117 83 0 14326 180
a 117 245 0 87 84
a 117 127 0 44 172
a 117 79 0 25 73
a 120 137 0 14326 65
a 120 187 0 13 128
a 120 177 0 47 63
a 120 263 0 94 19
a 120 262 0 92 149
a 120 99 0 49 122
a 120 162 0 47 65
a 137 82 0 14326 151
a 137 274 0 80 97
a 137 237 0 19 96
a 137 141 0 19 144
a 142 38 0 14326 136
a 142 219 0 60 117
a 142 292 0 43 41
a 142 21 0 15 87
a 146 37 0 14326 200
a 146 106 0 12 177
a 146 124 0 97 97
a 149 30 0 14326 200
a 149 255 0 14 5
a 149 58 0 16 155
a 149 132 0 13 186
a 149 72 0 13 124
a 149 230 0 43 32
a 149 245 0 85 124
a 149 280 0 62 31
a 149 112 0 60 96
a 149 50 0 31 25
a 157 80 0 14326 200
a 157 257 0 91 147
a 157 83 0 22 37
a 157 214 0 12 187
a 157 178 0 49 104
a 157 138 0 73 11
a 157 17 0 51 131
a 157 261 0 47 154
a 157 216 0 76 63
a 157 94 0 83 72
a 157 26 0 56 54
a 157 227 0 51 125
a 170 115 0 14326 11
a 170 107 0 83 119
a 170 213 0 87 108
a 170 293 0 41 98
a 170 147 0 83 133
a 170 154 0 54 200
a 170 205 0 18 63
a 170 184 0 46 51
a 170 68 0 20 83
a 202 149 0 14326 12
a 202 232 0 69 40
a 202 206 0 51 27
a 202 18 0 61 194
a 202 235 0 85 41
a 202 16 0 25 154
a 202 266 0 94 77
a 202 198 0 87 56
a 221 22 0 14326 200
a 221 123 0 82 48
a 221 77 0 40 154
a 221 294 0 10 5
a 221 173 0 50 58
a 221 194 0 20 22
a 221 121 0 26 51
a 233 88 0 14326 200
a 233 186 0 52 4
a 233 244 0 33 65
a 254 120 0 14326 22
a 254 235 0 86 39
a 254 25 0 98 105
a 254 186 0 14 171
a 254 270 0 59 10
a 254 196 0 39 150
a 254 30 0 87 90
a 254 183 0 36 134
a 254 97 0 90 41
a 254 240 0 100 181
a 254 105 0 60 114
a 271 70 0 14326 195
a 271 238 0 12 120
a 271 297 0 88 160
a 271 29 0 14 19
a 271 172 0 88 85
a 271 216 0 46 75
a 271 117 0 49 40
a 271 292 0 22 183
a 273 202 0 14326 200
a 273 104 0 99 172
a 273 130 0 11 47
a 273 295 0 49 92
a 273 218 0 29 132
a 273 68 0 18 103
a 4 72 0 1728 200
a 4 15 0 86 126
a 4 123 0 79 5
a 4 20 0 65 94
a 4 278 0 93 185
a 4 18 0 18 124
a 4 149 0 81 64
a 13 220 0 1728 200
a 13 63 0 63 72
a 13 27 0 76 95
a 13 194 0 85 169
a 13 179 0 76 7
a 13 255 0 24 92
a 13 24 0 62 110
a 13 180 0 17 132
a 13 123 0 63 15
a 13 45 0 91 78
a 13 34 0 44 42
a 13 251 0 77 182
a 27 160 0 1728 102
a 27 281 0 66 161
a 27 286 0 34 197
a 27 26 0 19 29
a 27 190 0 23 86
a 27 77 0 92 74
a 27 60 0 21 130
a 27 83 0 94 46
a 27 227 0 21 187
a 27 230 0 75 150
a 27 75 0 55 21
a 32 150 0 1728 115
a 32 221 0 40 98
a 32 103 0 78 30
a 32 69 0 74 45
a 32 290 0 56 18
a 32 165 0 25 31
a 32 82 0 11 42
a 32 244 0 81 35
a 32 297 0 82 85
a 32 45 0 81 15
a 32 205 0 14 91
a 32 175 0 55 106
a 35 219 0 1728 7
a 35 21 0 21 183
a 35 82 0 71 197
a 35 300 0 100 174
a 35 63 0 23 70
a 35 38 0 72 11
a 35 44 0 35 75
a 35 48 0 12 132
a 35 297 0 36 152
a 35 62 0 91 45
a 35 289 0 38 156
a 35 182 0 57 136
a 40 266 0 1728 200
a 40 180 0 68 123
a 40 164 0 94 111
a 40 242 0 36 186
a 40 121 0 26 41
a 40 123 0 66 187
a 40 10 0 73 26
a 40 68 0 89 67
a 40 88 0 51 138
a 42 87 0 1728 200
a 42 50 0 63 110
a 42 148 0 83 20
a 42 73 0 70 44
a 42 36 0 93 93
a 42 253 0 22 2
a 42 247 0 68 100
a 42 280 0 23 78
a 56 164 0 1728 200
a 56 9 0 68 119
a 56 300 0 34 170
a 56 114 0 14 118
a 56 145 0 11 93
a 56 203 0 35 4
a 56 144 0 89 51
a 56 193 0 69 38
a 72 40 0 1728 200
a 72 271 0 13 46
a 72 193 0 28 114
a 72 20 0 81 20
a 72 135 0 14 117
a 72 80 0 73 15
a 72 53 0 90 37
a 72 258 0 92 177
a 84 294 0 1728 72
a 84 136 0 1728 200
a 84 188 0 70 187
a 87 168 0 1728 200
a 87 75 0 47 63
a 91 106 0 1728 200
a 91 13 0 53 67
a 91 203 0 38 181
a 91 288 0 63 65
a 91 143 0 86 132
a 91 146 0 34 70
a 91 9 0 92 18
a 91 278 0 28 64
a 91 157 0 31 23
a 91 128 0 92 145
a 91 15 0 88 76
a 91 215 0 44 117
a 106 163 0 1728 200
a 106 98 0 31 3
a 106 190 0 36 154
a 106 285 0 85 184
a 106 38 0 19 113
a 136 32 0 1728 200
a 136 38 0 38 151
a 136 106 0 18 35
a 136 128 0 65 137
a 136 35 0 81 162
a 136 205 0 17 63
a 136 285 0 60 34
a 150 203 0 1728 166
a 150 300 0 37 139
a 150 80 0 93 138
a 150 36 0 11 109
a 150 211 0 34 5
a 160 282 0 1728 200
a 160 12 0 70 156
a 161 200 0 1728 200
a 161 172 0 98 86
a 161 154 0 37 80
a 161 209 0 63 47
a 161 44 0 18 109
a 161 120 0 16 70
a 161 293 0 10 194
a 163 42 0 1728 160
a 163 132 0 37 132
a 163 170 0 89 130
a 163 94 0 76 96
a 163 265 0 73 71
a 164 84 0 1728 200
a 164 121 0 25 165
a 164 295 0 12 181
a 164 163 0 12 75
a 164 79 0 16 13
a 164 193 0 34 18
a 164 225 0 55 7
a 164 64 0 73 133
a 164 232 0 35 137
a 164 258 0 63 124
a 164 231 0 77 186
a 168 27 0 1728 99
a 168 83 0 75 116
a 168 135 0 28 125
a 168 101 0 17 52
a 168 191 0 66 191
a 168 91 0 83 185
a 168 292 0 33 24
a 168 55 0 96 141
a 168 68 0 33 75
a 168 273 0 43 40
a 184 13 0 1728 67
a 184 54 0 94 49
a 184 281 0 59 119
a 184 264 0 35 22
a 200 35 0 1728 200
a 200 222 0 36 160
a 200 112 0 45 83
a 203 298 0 1728 200
a 203 88 0 82 33
a 203 274 0 27 95
a 203 138 0 98 33
a 203 222 0 78 161
a 203 282 0 58 99
a 203 21 0 31 59
a 203 91 0 98 185
a 203 19 0 52 112
a 203 281 0 33 75
a 210 161 0 1728 200
a 210 300 0 79 134
a 210 107 0 53 185
a 210 246 0 33 81
a 210 36 0 80 67
a 210 218 0 74 126
a 210 270 0 62 12
a 210 201 0 85 65
a 219 91 0 1728 200
a 219 27 0 51 54
a 219 36 0 58 60
a 219 39 0 92 20
a 219 235 0 91 60
a 219 11 0 41 150
a 219 185 0 32 73
a 219 197 0 76 158
a 219 48 0 61 47
a 220 210 0 1728 200
a 220 64 0 52 37
a 220 194 0 23 50
a 220 149 0 69 127
a 220 10 0 66 99
a 220 264 0 60 82
a 220 290 0 86 30
a 239 56 0 1728 200
a 239 126 0 39 186
a 239 257 0 97 179
a 239 86 0 25 15
a 239 225 0 31 68
a 239 166 0 17 79
a 239 57 0 26 22
a 239 196 0 46 88
a 239 98 0 31 108
a 239 28 0 64 55
a 239 76 0 45 87
a 239 294 0 31 51
a 266 184 0 1728 200
a 266 281 0 70 80
a 266 15 0 66 103
a 266 207 0 88 78
a 266 206 0 84 121
a 266 283 0 62 179
a 266 294 0 74 165
a 266 132 0 62 133
a 266 48 0 81 20
a 266 17 0 48 162
a 266 61 0 63 33
a 282 239 0 1728 187
a 282 160 0 73 11
a 282 10 0 12 45
a 282 74 0 82 58
a 282 223 0 13 198
a 282 9 0 96 182
a 282 188 0 90 61
a 282 147 0 93 35
a 282 179 0 39 79
a 282 200 0 69 92
a 282 267 0 31 26
a 282 34 0 65 108
a 5 185 0 10202 22
a 5 47 0 22 52
a 5 139 0 76 20
a 5 211 0 41 85
a 5 175 0 62 21
a 5 138 0 28 28
a 5 190 0 65 151
a 5 193 0 46 105
a 5 218 0 63 4
a 5 74 0 21 29
a 9 156 0 10202 200
a 9 279 0 69 142
a 9 76 0 85 5
a 9 245 0 65 143
a 9 142 0 42 79
a 9 185 0 78 11
a 9 270 0 59 189
a 9 255 0 43 174
a 9 296 0 69 107
a 9 39 0 54 101
a 9 159 0 35 155
a 9 191 0 43 103
a 12 104 0 10202 200
a 12 224 0 38 122
a 29 228 0 10202 200
a 29 113 0 12 11
a 29 86 0 20 24
a 29 72 0 57 141
a 29 135 0 67 142
a 29 198 0 43 108
a 29 291 0 53 4
a 29 249 0 93 132
a 29 73 0 90 99
a 29 200 0 28 164
a 33 121 0 10202 114
a 33 99 0 19 46
a 33 144 0 71 54
a 33 252 0 70 27
a 33 156 0 60 50
a 33 223 0 17 178
a 33 47 0 77 109
a 33 255 0 52 41
a 39 135 0 10202 200
a 39 168 0 83 19
a 39 214 0 80 170
a 39 132 0 37 60
a 50 169 0 10202 109
a 50 229 0 72 193
a 50 294 0 74 72
a 50 236 0 23 63
a 50 29 0 47 162
a 50 130 0 27 94
a 50 176 0 49 200
a 50 252 0 94 38
a 50 206 0 73 170
a 50 300 0 79 197
a 50 133 0 59 141
a 50 100 0 36 162
a 64 175 0 10202 142
a 64 142 0 50 81
a 64 79 0 14 67
a 65 255 0 10202 200
a 65 56 0 40 20
a 65 19 0 30 157
a 65 227 0 64 27
a 65 186 0 18 122
a 65 156 0 77 2
a 65 51 0 42 111
a 65 36 0 56 179
a 65 104 0 98 200
a 71 281 0 10202 200
a 71 182 0 20 48
a 71 165 0 29 56
a 74 229 0 10202 200
a 74 170 0 27 175
a 74 191 0 21 104
a 74 68 0 100 4
a 74 188 0 95 42
a 74 148 0 69 26
a 102 236 0 10202 200
a 102 235 0 22 192
a 102 300 0 75 175
a 102 62 0 33 67
a 104 172 0 10202 200
a 104 235 0 19 112
a 104 294 0 50 20
a 104 124 0 64 158
a 104 108 0 43 61
a 104 107 0 98 4
a 113 138 0 10202 200
a 113 43 0 74 75
a 113 243 0 18 190
a 113 66 0 13 161
a 113 126 0 89 90
a 121 64 0 10202 200
a 121 17 0 53 65
a 121 95 0 73 198
a 121 174 0 35 32
a 121 129 0 61 83
a 121 189 0 75 38
a 121 233 0 33 85
a 121 119 0 58 63
a 121 163 0 67 33
a 121 191 0 57 91
